Team,Wins-Losses,Adjusted efficiency margin,Offensive Efficiency ,Defensive Efficiency ,Adjusted Tempo,Luck,Stength of Schedule Rating,Average adjusted offensive efficiency of opposing opponents ,Average adjusted defensive efficiency of opposing defenses,
South Dakota State,20-12,2.68,109.7,107,68.9,-0.018,-1.77,108,109.7,4.21
Wichita State,19-14,2.68,106.8,104.1,68.6,0.041,1.49,107.4,105.9,1.12
Kent State,22-11,2.65,105.4,102.8,66,0.027,-3.8,105.7,109.5,1.86
Furman,25-9,2.33,109.6,107.3,65.9,0.121,-1.56,106.4,107.9,0.46
Tulane,19-14,2.12,108.8,106.6,66.6,-0.033,-1.26,106.4,107.7,-6.59
Robert Morris (PA),26-8,2.09,107,104.9,67.8,0.088,-6.25,104.5,110.7,-8.62
Illinois State,19-14,1.96,111.9,109.9,65.7,-0.015,0.06,107.5,107.4,-1.52
East Tennessee State,19-13,1.9,106.8,104.9,65,-0.069,-3.36,105.9,109.2,-3.2
Murray State,16-17,1.88,106.4,104.5,64.8,-0.05,1.42,107.6,106.2,1.29
UNC Greensboro,20-12,1.79,107.2,105.4,63.8,-0.016,-2.32,106.6,108.9,1.5
Milwaukee,21-11,1.76,107.2,105.5,68.7,0.004,-3.16,106,109.2,2.44
UC Riverside,21-12,1.6,110.1,108.5,67.1,0.127,1.74,107.5,105.8,8.64
Seattle,14-18,1.59,104,102.4,65.9,-0.138,-0.07,104.9,105,4.94
UC Santa Barbara,21-13,1.58,108.8,107.2,65.4,-0.001,-2.35,104.9,107.3,-8.71
Davidson,17-16,1.56,109.7,108.2,65.9,-0.02,0.47,106.4,106,-4.86
Bryant,23-11,1.18,106.7,105.5,72.4,-0.003,-6.99,102.9,109.9,0.46
Rhode Island,18-13,0.91,108.1,107.2,70.4,0.016,-0.65,105.8,106.4,-6.62
Miami OH,25-9,0.74,107.8,107,68.9,0.086,-5.73,103.7,109.4,-3.33
Radford,20-13,0.69,110.4,109.7,62.7,0.059,-2.09,106.8,108.9,1.45
Charleston,24-9,0.65,106,105.4,70,0.141,-2.69,105.8,108.5,0.16
Towson,22-11,0.64,106.8,106.2,63.6,0.094,-2.14,105.8,108,3.35
Loyola Marymount,17-15,0.52,104.1,103.6,67.1,0.062,2.6,108.7,106.1,-0.16
Nebraska Omaha,22-12,0.51,111,110.5,67.7,0.071,-2.51,106.7,109.2,0.4
Montana,25-9,0.38,110.8,110.4,67,0.186,-2.22,106.4,108.7,8.73
UTEP,18-15,0.38,105.2,104.9,68.7,0.028,2.45,106.9,104.5,0.79
Western Kentucky,17-15,0.31,103.4,103.1,71.6,0.034,2.2,106.6,104.4,2.05
Texas A&M Corpus Chris,20-14,0.24,106,105.7,67.4,-0.028,-3.76,104.1,107.9,3.93
Virginia Tech,13-19,0.2,106.4,106.2,65.1,0.03,6.99,110.9,103.9,-1.13
James Madison,20-12,0.09,110.4,110.3,64.8,0.069,-1.42,105.5,106.9,3.67
Winthrop,23-11,-0.03,108.3,108.3,72.6,0.078,-3.82,105.8,109.7,-3.6
Purdue Fort Wayne,19-13,-0.06,109,109.1,69.7,-0.015,-3.62,105.2,108.8,0.67
San Jose State,15-19,-0.11,107.3,107.4,66.3,0.009,4.73,108.7,103.9,-3.34
Lamar,20-13,-0.18,102,102.2,65.4,0.047,-1.8,105.4,107.2,3.99
Cal Baptist,17-15,-0.33,105.8,106.1,65.7,-0.013,-1.8,103.7,105.5,0.02
Cleveland State,21-12,-0.38,103.7,104.1,65.3,0.032,-4.4,104.8,109.2,-0.26
Marshall,20-13,-0.52,106.3,106.8,68.6,0.002,-4.34,105.3,109.6,-4.45
Appalachian State,17-14,-0.59,101.1,101.7,63.1,-0.028,-3.27,106,109.3,3.07
Temple,17-15,-0.61,110,110.6,68.6,0.017,-0.22,106.5,106.8,-1.98
Florida Gulf Coast,18-14,-0.68,108.1,108.8,65.2,-0.026,-3.81,105.6,109.4,3.47
